N_shot,ICL_strategy,reasoning,model,depression_accuracy,depression_f1_macro,depression_precision,depression_recall,anxiety_accuracy,anxiety_f1_macro,anxiety_precision,anxiety_recall,prompt_avg,prompt_std,completion_avg,completion_std,avg_per_request,std_per_request,avg_seconds,std_seconds,per_sample_usd,per_sample_std,depression_accuracy_ci,depression_f1_macro_ci,depression_precision_ci,depression_recall_ci,anxiety_accuracy_ci,anxiety_f1_macro_ci,anxiety_precision_ci,anxiety_recall_ci
0-shot,None,Direct,GPT-5,0.714975845410628,0.48091635498129887,0.483766739333541,0.4803672316384181,0.7922705314009661,0.5421296296296296,0.5570276497695853,0.5387931034482759,1764.5990338164252,37.09907871603507,1536.292270531401,342.38020802678983,3300.891304347826,346.1333415284092,23.346369699579505,7.095175905276376,0.01756867149758453,0.003426319890057911,"[0.667, 0.758]","[0.436, 0.527]","[0.445, 0.526]","[0.431, 0.532]","[0.754, 0.831]","[0.493, 0.602]","[0.496, 0.635]","[0.497, 0.590]"
0-shot,None,Direct,Claude Sonnet 4.5,0.5507246376811594,0.45433673469387753,0.5044871794871795,0.5088983050847458,0.5869565217391305,0.4595671590518722,0.4871589085072231,0.4780564263322884,1871.1256038647343,37.91668557410052,510.92028985507244,86.4289992257365,2382.045893719807,91.5194354905582,14.666883622966527,2.1720860564130033,0.01327718115942028,0.0012921880513047967,"[0.500, 0.599]","[0.406, 0.500]","[0.471, 0.539]","[0.439, 0.579]","[0.539, 0.630]","[0.413, 0.508]","[0.453, 0.526]","[0.417, 0.545]"
0-shot,None,Direct,Gemini 2.5 Pro,0.4441747572815534,0.3917074460197417,0.4890325670498084,0.47800931483170883,0.48058252427184467,0.4375175440834971,0.525882945308941,0.5478607847483928,1920.0193236714977,106.84975054633077,2693.5434782608695,404.2269257854191,4613.562801932367,453.85703410718924,33.39349868562486,7.0446720176478905,0.02933545893719806,0.004092359190575854,"[0.396, 0.490]","[0.348, 0.437]","[0.453, 0.525]","[0.410, 0.550]","[0.437, 0.532]","[0.393, 0.484]","[0.494, 0.563]","[0.488, 0.613]"
0-shot,None,Direct,Llama-3.1 8b,0.5560975609756098,0.4441464795447096,0.4883962077819475,0.4776190476190476,0.4121951219512195,0.36570397807149874,0.4577119856453529,0.42318534178999295,1774.5990338164252,37.09907871603507,452.3671497584541,122.29626845635786,2226.9661835748793,128.62937364638745,5.475704673407734,1.4232644351822605,0.0,0.0,"[0.507, 0.605]","[0.402, 0.486]","[0.457, 0.523]","[0.416, 0.547]","[0.366, 0.459]","[0.324, 0.408]","[0.422, 0.497]","[0.360, 0.494]"
0-shot,None,Direct,Mistral 7B,0.6655172413793103,0.46694207045536373,0.4890215369848221,0.47897518382352944,0.6948051948051948,0.49409380023764593,0.4992420107937663,0.49894381073088295,2110.6642512077296,51.645071010746136,589.0869565217391,138.45167689377615,2699.7512077294687,155.05435679574862,6.211572196172631,1.4813786916978087,0.0,0.0,"[0.608, 0.724]","[0.417, 0.524]","[0.450, 0.532]","[0.403, 0.568]","[0.641, 0.748]","[0.438, 0.548]","[0.452, 0.547]","[0.433, 0.564]"
0-shot,None,Direct,gpt-oss-20b,0.42028985507246375,0.3779580797836376,0.48671602787456447,0.4741525423728814,0.5797101449275363,0.48174048174048173,0.5161149825783972,0.5289968652037618,1825.5990338164252,37.09907871603507,1076.3285024154588,363.94279864450795,2901.927536231884,370.62912901004074,11.156445222776293,5.481919820524794,0.0,0.0,"[0.374, 0.469]","[0.331, 0.423]","[0.450, 0.522]","[0.406, 0.546]","[0.529, 0.628]","[0.435, 0.529]","[0.481, 0.552]","[0.466, 0.596]"
0-shot,None,CoT,GPT-5,0.7420924574209246,0.4755633667180278,0.47523688580638856,0.4759259259259259,0.7712895377128953,0.5067160367722165,0.5118900173396086,0.5084321475625824,1906.5990338164252,37.09907871603507,2290.647342995169,305.52393626856303,4197.246376811594,309.1350754185333,34.77671462211056,7.875986314690582,0.025289722222222238,0.003057315663594658,"[0.698, 0.781]","[0.437, 0.519]","[0.435, 0.520]","[0.437, 0.520]","[0.732, 0.810]","[0.458, 0.561]","[0.453, 0.581]","[0.469, 0.558]"
0-shot,None,CoT,Claude Sonnet 4.5,0.5120772946859904,0.42889532342657344,0.49318947762591275,0.4862994350282486,0.6231884057971014,0.4591498341875188,0.475765306122449,0.4627742946708464,2040.1256038647343,37.91668557410052,1047.5144927536232,116.30290508834712,3087.6400966183573,124.31827019913314,28.292651439634497,3.5596377904677903,0.021833094202898532,0.0017545557796432227,"[0.464, 0.558]","[0.384, 0.474]","[0.461, 0.528]","[0.420, 0.558]","[0.582, 0.669]","[0.419, 0.503]","[0.442, 0.512]","[0.411, 0.519]"
0-shot,None,CoT,Gemini 2.5 Pro,0.3808353808353808,0.3578512396694215,0.49557988645579887,0.4921469740634006,0.4963144963144963,0.4517816193911678,0.5323687423687424,0.5588954056695992,2060.3357664233577,152.54610937271795,3370.014598540146,511.2058829617644,5430.350364963504,597.01671462059,40.4602369125162,8.801504191596159,0.036275565693430635,0.005202628680424714,"[0.334, 0.428]","[0.314, 0.404]","[0.457, 0.531]","[0.425, 0.557]","[0.442, 0.545]","[0.402, 0.501]","[0.496, 0.571]","[0.491, 0.627]"
0-shot,None,CoT,Llama-3.1 8b,0.46440677966101696,0.41591478696741857,0.5173992673992673,0.5355771077395813,0.47194719471947194,0.42910975035327364,0.5185070122492456,0.5340686274509804,1916.5990338164252,37.09907871603507,649.4541062801933,145.02902115056864,2566.0531400966183,153.22723827084664,7.562783908728816,1.5146920022205839,0.0,0.0,"[0.406, 0.520]","[0.361, 0.467]","[0.480, 0.555]","[0.454, 0.611]","[0.419, 0.531]","[0.372, 0.485]","[0.476, 0.557]","[0.456, 0.609]"
0-shot,None,CoT,Mistral 7B,0.4594594594594595,0.41686367218282117,0.5052083333333334,0.5094086021505376,0.5569620253164557,0.45624385447394294,0.4930186170212766,0.4877622377622378,2285.6642512077296,51.645071010746136,555.1328502415458,138.5341626995713,2840.7971014492755,152.7707619018819,5.905513497366422,1.344951944242139,0.0,0.0,"[0.376, 0.540]","[0.341, 0.498]","[0.444, 0.565]","[0.393, 0.614]","[0.480, 0.635]","[0.384, 0.527]","[0.434, 0.548]","[0.384, 0.580]"
0-shot,None,CoT,gpt-oss-20b,0.3602941176470588,0.3379217727043814,0.4798725351345462,0.4641105337283279,0.553921568627451,0.4547537227949599,0.49404761904761907,0.4893673577884104,1967.5990338164252,37.09907871603507,1868.8091787439614,412.80208942848583,3836.4082125603863,420.64415754358106,18.413311578225397,8.290468489470154,0.0,0.0,"[0.311, 0.407]","[0.291, 0.382]","[0.443, 0.517]","[0.394, 0.531]","[0.502, 0.600]","[0.405, 0.501]","[0.456, 0.530]","[0.423, 0.556]"
4-shot,Cross Random,Direct,GPT-5,0.5990338164251208,0.4528343949044586,0.4822471324296142,0.46793785310734465,0.7053140096618358,0.5444805194805196,0.5438348416289593,0.5607366771159874,6614.239130434783,153.90704991878312,1446.3212560386473,347.2016297107268,8060.56038647343,374.7267216501796,35.64463552933384,15.314248471136162,0.022731011473429975,0.0034704763003842844,"[0.551, 0.643]","[0.409, 0.499]","[0.448, 0.519]","[0.407, 0.537]","[0.662, 0.746]","[0.493, 0.596]","[0.500, 0.590]","[0.501, 0.626]"
4-shot,Cross Random,CoT,GPT-5,0.6497584541062802,0.4746882520236272,0.4899665551839465,0.4837570621468927,0.6811594202898551,0.5071428571428571,0.5113122171945701,0.5156739811912225,6733.719806763285,174.61973521493127,1915.915458937198,303.3006354452696,8649.635265700483,346.7654469255135,35.018973189851515,8.683928254229858,0.027576304347826108,0.0030362490386500445,"[0.601, 0.693]","[0.429, 0.521]","[0.453, 0.528]","[0.424, 0.545]","[0.635, 0.722]","[0.459, 0.556]","[0.470, 0.555]","[0.460, 0.578]"
4-shot,Cross Random,CoT,Claude Sonnet 4.5,0.5485436893203883,0.46597909407665505,0.5211474632527264,0.5422348484848485,0.6359223300970874,0.5014038145028561,0.5159090909090909,0.5257488176563321,7024.685990338165,181.16285130406362,945.6425120772947,113.80629245514116,7970.328502415459,221.56108046319443,26.372677672888347,2.9445830737971344,0.03525869565217391,0.0018327129672744392,"[0.500, 0.597]","[0.420, 0.511]","[0.487, 0.555]","[0.475, 0.612]","[0.587, 0.685]","[0.453, 0.549]","[0.475, 0.556]","[0.459, 0.592]"
4-shot,Cross Random,CoT,Gemini 2.5 Pro,0.40654205607476634,0.3815732586979771,0.5232196638492179,0.5432971014492753,0.5420560747663551,0.47986111111111107,0.5357798165137615,0.5653631284916201,7494.852300242131,231.49979468722964,2995.549636803874,278.79825224320047,10490.401937046005,381.2946001489995,31.823652349430482,4.049037330604431,0.03932406174334139,0.0028341482289815207,"[0.341, 0.472]","[0.321, 0.447]","[0.476, 0.569]","[0.455, 0.628]","[0.477, 0.607]","[0.413, 0.551]","[0.488, 0.586]","[0.477, 0.654]"
4-shot,Cross Random,CoT,gpt-oss-20b,0.47572815533980584,0.42350746268656714,0.5157610900326914,0.5317136409468479,0.5097087378640777,0.43706709956709955,0.49807724066341097,0.496386610507648,6794.577294685991,174.64923457216364,2077.509661835749,569.7629252324609,8872.08695652174,600.2726491421449,21.03685110202734,9.851789480211524,0.0,0.0,"[0.430, 0.522]","[0.379, 0.466]","[0.482, 0.550]","[0.463, 0.600]","[0.461, 0.561]","[0.392, 0.489]","[0.463, 0.535]","[0.430, 0.565]"
4-shot,Cross Retrieval,CoT,GPT-5,0.6755447941888619,0.48551613862858845,0.4946724670575626,0.49202077431539193,0.7893462469733656,0.5844637962738091,0.5904790065050266,0.5801676709457689,6436.780193236715,616.0636122920268,1962.7946859903382,287.9575567067392,8399.574879227053,653.1979288455941,39.38012419173107,9.475483431135494,0.027673922101449255,0.002904762980666979,"[0.634, 0.717]","[0.440, 0.533]","[0.456, 0.534]","[0.434, 0.554]","[0.751, 0.828]","[0.526, 0.642]","[0.529, 0.654]","[0.525, 0.638]"
4-shot,Cross Retrieval,CoT,Claude Sonnet 4.5,0.39371980676328505,0.3657089490743284,0.49633111671634944,0.49322033898305084,0.6038647342995169,0.4953170992774953,0.5212432915921288,0.5372257053291536,6747.260869565217,636.8178662294284,979.3212560386473,88.82420722824783,7726.582125603864,649.9467438378574,26.80507361255406,3.1672522781429002,0.03493160144927536,0.002414581950013549,"[0.345, 0.440]","[0.320, 0.409]","[0.461, 0.531]","[0.425, 0.557]","[0.560, 0.650]","[0.449, 0.545]","[0.484, 0.561]","[0.471, 0.604]"
4-shot,Cross Retrieval,CoT,Gemini 2.5 Pro,0.2951219512195122,0.29326788302447226,0.5142594468835604,0.5180952380952382,0.5682926829268292,0.5065782763895972,0.5584200623972946,0.6080426356589147,7188.321256038647,931.5576460972702,3447.756038647343,560.9678712369837,10636.07729468599,1282.5316501510042,41.86151557728864,10.646116279710695,0.04346296195652172,0.006213249360799597,"[0.251, 0.339]","[0.250, 0.334]","[0.475, 0.555]","[0.468, 0.571]","[0.520, 0.612]","[0.459, 0.553]","[0.525, 0.595]","[0.547, 0.671]"
4-shot,Cross Retrieval,CoT,gpt-oss-20b,0.3,0.2741006273204455,0.4083333333333333,0.3351648351648352,0.5333333333333333,0.4444444444444444,0.4827935222672065,0.47128378378378377,6383.725274725275,633.7273144984428,2283.131868131868,554.2795979654004,8666.857142857143,845.197962004436,23.380892098604978,9.179875134245384,0.0,0.0,"[0.211, 0.389]","[0.190, 0.360]","[0.317, 0.491]","[0.184, 0.483]","[0.433, 0.633]","[0.352, 0.546]","[0.400, 0.566]","[0.341, 0.611]"
4-shot,Personal Recent,Direct,GPT-5,0.7898550724637681,0.5094719925912812,0.5143202772510299,0.5103107344632768,0.7971014492753623,0.5303840544482256,0.5496031746031746,0.5293887147335423,6759.688405797101,155.7542564949642,989.5072463768116,369.6345351303319,7749.195652173913,380.3333496938035,26.72199467011696,22.943381912121936,0.018344682971014478,0.0036739527741796087,"[0.749, 0.829]","[0.461, 0.562]","[0.456, 0.578]","[0.468, 0.556]","[0.758, 0.836]","[0.478, 0.588]","[0.478, 0.627]","[0.488, 0.579]"
4-shot,Personal Recent,CoT,GPT-5,0.8019323671497585,0.5079714766073395,0.5171826625386997,0.5104519774011299,0.7971014492753623,0.5051229508196722,0.521875,0.5109717868338558,6901.688405797101,155.7542564949642,1612.2946859903382,329.8570179495987,8513.983091787439,364.1434622051718,33.97302342440195,8.735015877606147,0.024750057367149768,0.00330343204530667,"[0.763, 0.841]","[0.462, 0.564]","[0.456, 0.591]","[0.472, 0.557]","[0.756, 0.836]","[0.460, 0.558]","[0.453, 0.601]","[0.476, 0.551]"
4-shot,Personal Recent,CoT,Claude Sonnet 4.5,0.6949152542372882,0.5206874953945915,0.5250031117749564,0.537936732766761,0.7263922518159807,0.5467665025395994,0.5443903814963684,0.5549733647716357,7223.437198067633,159.09780259392903,1012.6425120772947,109.03741204990014,8236.079710144928,195.32096939628966,28.016708649874886,3.1022265287090733,0.0368599492753623,0.0017162677416985752,"[0.651, 0.741]","[0.469, 0.572]","[0.486, 0.568]","[0.478, 0.607]","[0.680, 0.768]","[0.494, 0.599]","[0.497, 0.595]","[0.497, 0.612]"
4-shot,Personal Recent,CoT,Gemini 2.5 Pro,0.5857843137254902,0.484289806511447,0.5238095238095238,0.546622310718275,0.6911764705882353,0.5436079545454545,0.5452725452725452,0.5669432608208118,7689.844660194175,692.2431984298996,3231.9660194174758,596.9996412568888,10921.81067961165,1074.1069797574244,38.59712515930528,8.393916448335347,0.041931966019417434,0.0063534097543550315,"[0.537, 0.632]","[0.439, 0.530]","[0.488, 0.558]","[0.479, 0.613]","[0.647, 0.738]","[0.493, 0.597]","[0.502, 0.592]","[0.504, 0.630]"
4-shot,Personal Recent,CoT,gpt-oss-20b,0.7699115044247787,0.5499387254901961,0.5499387254901961,0.5499387254901961,0.7168141592920354,0.5484515484515484,0.5532258064516129,0.5463483146067416,6953.732758620689,98.26541800220784,1774.2155172413793,627.6186768670278,8727.948275862069,636.7994033314056,18.32295288916292,9.43933724885569,0.0,0.0,"[0.681, 0.841]","[0.444, 0.657]","[0.448, 0.672]","[0.446, 0.667]","[0.628, 0.796]","[0.449, 0.653]","[0.447, 0.668]","[0.457, 0.651]"
4-shot,Personal Recent,Self-Feedback,GPT-5,0.7971014492753623,0.513894324853229,0.5216265397536394,0.51454802259887,0.8140096618357487,0.5153183013790272,0.5537084398976982,0.5210292580982236,15528.6038647343,8117.828183867098,3790.6062801932367,2526.2573876117563,19319.210144927536,10593.448744676149,65.92685394241037,54.47164753541955,0.057316817632850244,0.03521953442434022,"[0.758, 0.833]","[0.465, 0.565]","[0.460, 0.590]","[0.474, 0.559]","[0.778, 0.853]","[0.472, 0.572]","[0.475, 0.656]","[0.491, 0.563]"
4-shot,Hybrid,CoT,GPT-5,0.8019323671497585,0.5079714766073395,0.5171826625386997,0.5104519774011299,0.7971014492753623,0.513894324853229,0.5321498691099477,0.5171107628004179,6803.413043478261,162.44807694849396,1591.7028985507247,309.7496435549518,8395.115942028986,342.95699944112306,33.3276869237135,7.952747311124795,0.02442129528985509,0.0030946378821910757,"[0.761, 0.838]","[0.461, 0.561]","[0.455, 0.586]","[0.472, 0.554]","[0.758, 0.833]","[0.463, 0.565]","[0.461, 0.608]","[0.480, 0.558]"
4-shot,Hybrid,CoT,Claude Sonnet 4.5,0.6779661016949152,0.5137692641344085,0.5218289085545723,0.5349386213408877,0.7094430992736077,0.5304328052755249,0.5300521468237843,0.5387520740546677,7121.12077294686,167.86783075473724,1016.6497584541063,113.0184908022872,8137.770531400966,201.33864327676693,27.88750827773182,3.4083734380576955,0.03661310869565219,0.0017632023636388924,"[0.632, 0.722]","[0.465, 0.563]","[0.484, 0.563]","[0.474, 0.601]","[0.666, 0.751]","[0.481, 0.577]","[0.486, 0.573]","[0.482, 0.597]"
4-shot,Hybrid,CoT,Gemini 2.5 Pro,0.6038647342995169,0.4953170992774953,0.5279982363315696,0.5538135593220339,0.7004830917874396,0.5450226885989791,0.5450257289879932,0.5640020898641589,7617.567632850241,217.05887359087978,3247.782608695652,511.412910769182,10865.350241545893,559.439208111485,38.47932651826149,7.858928002779511,0.04199978562801931,0.005126584083728758,"[0.556, 0.650]","[0.441, 0.543]","[0.490, 0.565]","[0.478, 0.621]","[0.657, 0.742]","[0.495, 0.597]","[0.504, 0.589]","[0.505, 0.631]"
4-shot,Hybrid,CoT,gpt-oss-20b,0.7456140350877193,0.48624708624708624,0.48596938775510207,0.48665858095815645,0.6842105263157895,0.45425531914893613,0.4502551020408163,0.4638888888888889,6874.067796610169,145.6572322335034,1673.7118644067796,487.48250036726506,8547.77966101695,511.15691536816627,17.863996002633694,7.180574779866397,0.0,0.0,"[0.667, 0.825]","[0.412, 0.585]","[0.405, 0.594]","[0.408, 0.587]","[0.605, 0.772]","[0.387, 0.528]","[0.368, 0.543]","[0.403, 0.532]"
